Query,Clicks,Impressions,CTR,Position
pimp my drawing,4004,4567,87.67%,1
pimpmydrawing,2219,2448,90.65%,1
people dwg,522,3683,14.17%,3.33
pimp my drawings,417,454,91.85%,1
cad people,281,2741,10.25%,4.66
dwg people,203,1121,18.11%,3.05
car dwg,139,3255,4.27%,4.65
people cad blocks,135,1447,9.33%,5.36
people cad,126,1676,7.52%,5.52
pimpmydrawings,113,127,88.98%,1
people cad block,105,2001,5.25%,6.19
tree dwg,103,4455,2.31%,5.47
cad blocks people,98,1239,7.91%,5.67
person dwg,89,549,16.21%,2.92
cad block people,87,1182,7.36%,5.67
autocad person silhouette,81,344,23.55%,2.24
silhouette dwg,69,845,8.17%,5.04
cad silhouette,53,150,35.33%,1.6
pimpmy drawing,51,63,80.95%,1
people dwg free,50,165,30.3%,2.41
free dwg people,49,98,50%,1.14
human silhouette dwg,41,126,32.54%,2.4
trees dwg,40,1736,2.3%,6.57
cad scale figures,38,108,35.19%,1.15
silhouette cad,37,163,22.7%,2.28
cars dwg,36,532,6.77%,4.29
people silhouette dwg,34,125,27.2%,2.4
man dwg,33,314,10.51%,3.7
cad trees,31,1758,1.76%,7.85
sanaa silhouettes dwg,31,158,19.62%,4.18
tree cad block,28,2820,0.99%,7.87
dwg person,28,204,13.73%,2.76
car dwg free,28,155,18.06%,3.06
cad people free,27,75,36%,2.36
autocad people,26,1163,2.24%,7.52
autocad people blocks,26,549,4.74%,6.37
cad person,25,634,3.94%,5.54
dwg trees,24,715,3.36%,6.59
person cad block,24,391,6.14%,5.95
dwg people free,24,68,35.29%,2.26
dwg person silhouette,24,61,39.34%,1.89
people silhouette cad,23,66,34.85%,1.79
human silhouette cad,20,71,28.17%,2.75
car cad block,19,2813,0.68%,7.52
free cad blocks people,19,115,16.52%,4.2
2d people cad,19,67,28.36%,2.64
construction worker dwg,19,52,36.54%,4.65
scale figure cad block,18,81,22.22%,2.98
free cad people,17,188,9.04%,3.97
people cad free,17,67,25.37%,3.16
pimp my cad,17,19,89.47%,1
pimp drawing,16,264,6.06%,1.15
2d cad people-download-free,16,240,6.67%,5.08
sanaa people dwg,16,175,9.14%,7.19
2d cad people,16,74,21.62%,2.62
2d people dwg,16,52,30.77%,2.13
scale figure dwg,16,45,35.56%,1.84
cad blocks trees,15,1337,1.12%,7.24
trees cad blocks,15,1314,1.14%,8.29
tree cad blocks,15,1017,1.47%,8.13
people autocad,15,531,2.82%,7.96
dwg car,15,498,3.01%,5.47
cad people download,15,55,27.27%,3.04
tree cad,14,2028,0.69%,7.12
free people dwg,14,40,35%,1.77
cad tree,13,1396,0.93%,6.33
car cad blocks,13,675,1.93%,7.69
autocad 2d car dwg free download,13,455,2.86%,9.1
tree dwg free,13,184,7.07%,5.58
cad people blocks,13,119,10.92%,5.61
construction worker cad block,13,109,11.93%,4.55
silhouettes dwg,13,84,15.48%,3.44
rhino 2d trees,13,52,25%,1.5
cad block,12,739,1.62%,15.66
cad block person sitting elevation side,12,254,4.72%,8.56
dwg silhouette,12,106,11.32%,4.6
people.dwg,12,76,15.79%,3.13
people 2d dwg,12,52,23.08%,3.13
person cad,11,238,4.62%,5.53
pine tree dwg,11,140,7.86%,7.63
cad entourage,11,44,25%,1.77
cad block car,10,633,1.58%,6.97
cad cars,10,625,1.6%,7.62
cad block person,10,221,4.52%,6.68
man cad block,10,161,6.21%,5.18
